Ensembl_ID	External_Gene_Name
ENSMUSG00000001995.8	SIPA1L2
ENSMUSG00000001998.13	AP4E1
ENSMUSG00000001999.13	BLVRA
ENSMUSG00000002006.10	PDZD4
ENSMUSG00000002007.5	SRPK3
ENSMUSG00000002010.15	IDH3G
ENSMUSG00000002012.11	PNCK
ENSMUSG00000002014.10	SSR4
ENSMUSG00000002015.5	BCAP31
ENSMUSG00000002017.9	FAM98A
ENSMUSG00000002020.13	LTBP2
ENSMUSG00000002028.10	KMT2A
ENSMUSG00000002031.9	IFT46
ENSMUSG00000002032.14	TMEM25
ENSMUSG00000002033.11	CD3G
ENSMUSG00000002043.14	TRAPPC6A
ENSMUSG00000002052.6	SUPT6
ENSMUSG00000002055.7	SPAG5
ENSMUSG00000002057.4	FOXN1
ENSMUSG00000002058.11	UNC119
ENSMUSG00000002059.15	RAB34
ENSMUSG00000002064.10	SDF2
ENSMUSG00000002068.14	CCNE1
ENSMUSG00000002076.9	HSF2BP
ENSMUSG00000002083.10	BBC3
ENSMUSG00000002100.13	MYBPC3
ENSMUSG00000002102.13	PSMC3
ENSMUSG00000002103.13	ACP2
ENSMUSG00000002104.9	RAPSN
ENSMUSG00000002105.13	SLC39A13
ENSMUSG00000002107.16	CELF2
ENSMUSG00000002108.8	NR1H3
ENSMUSG00000002109.12	DDB2
ENSMUSG00000002111.8	SPI1
ENSMUSG00000002129.9	SF3A1
ENSMUSG00000002147.16	STAT6
ENSMUSG00000002190.11	CLGN
ENSMUSG00000002204.8	NAPSA
ENSMUSG00000002205.13	VRK3
ENSMUSG00000002210.9	SMG9
ENSMUSG00000002221.9	PAXIP1
ENSMUSG00000002222.12	RMND5A
ENSMUSG00000002227.13	MOV10
ENSMUSG00000002228.7	PPM1J
ENSMUSG00000002233.11	RHOC
ENSMUSG00000002240.10	PRR27
ENSMUSG00000002249.15	TEAD3
ENSMUSG00000002250.13	PPARD
ENSMUSG00000002257.7	DEF6
ENSMUSG00000002265.13	PEG3
ENSMUSG00000002266.13	ZIM1
ENSMUSG00000002274.10	METRN
ENSMUSG00000002279.16	LMF1
ENSMUSG00000002280.8	NARFL
ENSMUSG00000002289.13	ANGPTL4
ENSMUSG00000002297.13	DBF4
ENSMUSG00000002307.13	DAXX
ENSMUSG00000002308.13	CD320
ENSMUSG00000002319.13	IPO4
ENSMUSG00000002320.13	TM9SF1
ENSMUSG00000002324.7	REC8
ENSMUSG00000002325.12	IRF9
ENSMUSG00000002326.5	GMPR2
ENSMUSG00000002329.6	MDP1
ENSMUSG00000002332.13	DHRS1
ENSMUSG00000002341.8	NCAN
ENSMUSG00000002342.15	TMEM161A
ENSMUSG00000002343.9	ARMC6
ENSMUSG00000002345.15	2310045N01RIK
ENSMUSG00000002346.14	SLC25A42
ENSMUSG00000002365.9	SNX9
ENSMUSG00000002372.8	RANBP3
ENSMUSG00000002379.6	NDUFA11
ENSMUSG00000002384.2	BMP8B
ENSMUSG00000002393.12	NR2F6
ENSMUSG00000002395.12	USE1
ENSMUSG00000002396.8	OCEL1
ENSMUSG00000002409.15	DYRK1B
ENSMUSG00000002413.13	BRAF
ENSMUSG00000002416.11	NDUFB2
ENSMUSG00000002428.10	HLTF
ENSMUSG00000002455.12	PRPF6
ENSMUSG00000002458.11	RGS19
ENSMUSG00000002459.15	RGS20
ENSMUSG00000002475.13	ABHD3
ENSMUSG00000002477.4	SNRPD1
ENSMUSG00000002486.13	TCHP
ENSMUSG00000002489.13	TIAM1
ENSMUSG00000002496.9	TSC2
ENSMUSG00000002500.13	RPL3L
ENSMUSG00000002504.12	SLC9A3R2
ENSMUSG00000002524.13	PUF60
ENSMUSG00000002546.14	GOLGA2
ENSMUSG00000002550.14	UCK1
ENSMUSG00000002565.14	SCIN
ENSMUSG00000002578.13	IKZF4
ENSMUSG00000002580.7	MIEN1
ENSMUSG00000002588.10	PON1
ENSMUSG00000002602.14	AXL
ENSMUSG00000002603.13	TGFB1
ENSMUSG00000002608.6	CCDC97
ENSMUSG00000002617.12	ZFP40
ENSMUSG00000002625.9	AKAP8L
ENSMUSG00000002633.4	SHH
ENSMUSG00000002635.9	PDCD2L
ENSMUSG00000002658.9	GTF2F1
ENSMUSG00000002660.7	CLPP
ENSMUSG00000002661.12	ALKBH7
ENSMUSG00000002664.2	PSPN
ENSMUSG00000002668.7	DENND1C
ENSMUSG00000002679.12	MED6
ENSMUSG00000002688.7	PRKD1
ENSMUSG00000002699.10	LCP2
ENSMUSG00000002718.12	CSE1L
ENSMUSG00000002728.12	NAA20
ENSMUSG00000002731.6	PRKRA
ENSMUSG00000002732.12	FKBP7
ENSMUSG00000002733.8	PLEKHA3
ENSMUSG00000002741.9	YKT6
ENSMUSG00000002748.7	BAZ1B
ENSMUSG00000002763.14	PEX6
ENSMUSG00000002767.11	MRPL2
ENSMUSG00000002768.7	MEA1
ENSMUSG00000002769.8	GNMT
ENSMUSG00000002771.10	GRIN2D
ENSMUSG00000002778.10	KDELR1
ENSMUSG00000002781.15	TMEM143
ENSMUSG00000002791.14	PDXK-PS
ENSMUSG00000002797.7	GGCT
ENSMUSG00000002799.5	JAG2
ENSMUSG00000002803.11	BTBD6
ENSMUSG00000002804.3	NUDT14
ENSMUSG00000002808.6	EPDR1
ENSMUSG00000002812.4	FLII
ENSMUSG00000002814.13	TOP3A
ENSMUSG00000002820.5	ATG4D
ENSMUSG00000002825.6	QTRT1
ENSMUSG00000002831.11	PLIN4
ENSMUSG00000002833.10	HDGFRP2
ENSMUSG00000002835.8	CHAF1A
ENSMUSG00000002844.8	ADPRH
ENSMUSG00000002845.12	TMEM39A
ENSMUSG00000002846.9	TIMMDC1
ENSMUSG00000002847.6	PLA1A
ENSMUSG00000002870.7	MCM2
ENSMUSG00000002871.12	TPRA1
ENSMUSG00000002881.12	NAB1
ENSMUSG00000002885.12	ADGRE5
ENSMUSG00000002897.3	IL17RA
ENSMUSG00000002900.13	LAMB1
ENSMUSG00000002908.13	KCNN1
ENSMUSG00000002910.10	ARRDC2
ENSMUSG00000002930.5	PPP1R17
ENSMUSG00000002944.13	CD36
ENSMUSG00000002948.16	MAP2K7
ENSMUSG00000002949.12	TIMM44
ENSMUSG00000002957.9	AP2A2
ENSMUSG00000002963.14	PNKP
ENSMUSG00000002968.7	MED25
ENSMUSG00000002980.12	BCAM
ENSMUSG00000002981.9	CLPTM1
ENSMUSG00000002983.14	RELB
ENSMUSG00000002984.14	TOMM40
ENSMUSG00000002985.13	APOE
ENSMUSG00000002992.14	APOC2
ENSMUSG00000002996.15	HBP1
ENSMUSG00000002997.13	PRKAR2B
ENSMUSG00000003031.12	CDKN1B
ENSMUSG00000003032.8	KLF4
ENSMUSG00000003033.12	AP1M1
ENSMUSG00000003037.14	RAB8A
ENSMUSG00000003038.13	HMGN2
ENSMUSG00000003039.8	FAM32A
ENSMUSG00000003051.11	ELF3
ENSMUSG00000003053.15	CYP2C29
ENSMUSG00000003062.10	STARD3NL
ENSMUSG00000003068.13	STK11
ENSMUSG00000003070.6	EFNA2
ENSMUSG00000003072.13	ATP5D
ENSMUSG00000003099.9	PPP5C
ENSMUSG00000003119.12	CDK12
ENSMUSG00000003123.13	LIPE
ENSMUSG00000003131.6	PAFAH1B2
ENSMUSG00000003134.8	TBC1D8
ENSMUSG00000003135.13	CNOT11
ENSMUSG00000003153.8	SLC2A3
ENSMUSG00000003154.13	FOXJ2
ENSMUSG00000003161.13	SRI
ENSMUSG00000003166.17	DGCR2
ENSMUSG00000003178.7	MICAL3
ENSMUSG00000003184.12	IRF3
ENSMUSG00000003190.9	BCL2L12
ENSMUSG00000003198.9	ZFP959
ENSMUSG00000003199.14	MPND
ENSMUSG00000003200.9	SH3GL1
ENSMUSG00000003206.6	EBI3
ENSMUSG00000003208.8	CCDC94
ENSMUSG00000003226.6	RANBP2
ENSMUSG00000003227.4	EDAR
ENSMUSG00000003228.8	GRK5
ENSMUSG00000003233.9	DVL3
ENSMUSG00000003234.13	ABCF3
ENSMUSG00000003235.10	EIF2B5
ENSMUSG00000003269.12	CYTH2
ENSMUSG00000003271.13	SULT2B1
ENSMUSG00000003273.11	CAR11
ENSMUSG00000003279.14	DLGAP1
ENSMUSG00000003282.7	PLAG1
ENSMUSG00000003283.11	HCK
ENSMUSG00000003299.9	MRPL4
ENSMUSG00000003308.12	KEAP1
ENSMUSG00000003309.11	AP1M2
ENSMUSG00000003316.12	GLG1
ENSMUSG00000003341.8	ATP8B3
ENSMUSG00000003344.12	BTBD2
ENSMUSG00000003345.13	CSNK1G2
ENSMUSG00000003346.12	ABHD17A
ENSMUSG00000003348.9	MOB3A
ENSMUSG00000003352.11	CACNB3
ENSMUSG00000003354.5	CCDC65
ENSMUSG00000003355.6	FKBP11
ENSMUSG00000003360.12	DDX23
ENSMUSG00000003363.13	PLD3
ENSMUSG00000003378.8	GRIK5
ENSMUSG00000003379.7	CD79A
ENSMUSG00000003380.10	RABAC1
ENSMUSG00000003382.16	ETV3
ENSMUSG00000003402.11	PRKCSH
ENSMUSG00000003410.7	ELAVL3
ENSMUSG00000003411.8	RAB3B
ENSMUSG00000003418.11	ST8SIA6
ENSMUSG00000003420.7	FCGRT
ENSMUSG00000003421.10	NOSIP
ENSMUSG00000003423.12	PIH1D1
ENSMUSG00000003429.10	RPS11
ENSMUSG00000003435.8	SUPT5
ENSMUSG00000003436.11	DLL3
ENSMUSG00000003437.12	PAF1
ENSMUSG00000003438.15	TIMM50
ENSMUSG00000003444.8	MED29
ENSMUSG00000003452.13	BICD1
ENSMUSG00000003458.10	NCSTN
ENSMUSG00000003464.11	PEX19
ENSMUSG00000003469.7	PHYHIP
ENSMUSG00000003476.13	CRHR2
ENSMUSG00000003477.5	INMT
ENSMUSG00000003484.4	CYP4F18
ENSMUSG00000003500.11	IMPDH1
ENSMUSG00000003505.13	PSG18
ENSMUSG00000003518.11	DUSP3
ENSMUSG00000003526.9	PRODH
ENSMUSG00000003527.8	DGCR14
ENSMUSG00000003528.12	SLC25A1
ENSMUSG00000003531.12	DGCR6
ENSMUSG00000003534.15	DDR1
ENSMUSG00000003541.6	IER3
ENSMUSG00000003545.2	FOSB
ENSMUSG00000003546.9	KLC4
ENSMUSG00000003549.7	ERCC1
ENSMUSG00000003555.7	CYP17A1
ENSMUSG00000003559.7	AS3MT
ENSMUSG00000003573.13	HOMER3
ENSMUSG00000003575.11	CRTC1
ENSMUSG00000003581.12	RNF215
ENSMUSG00000003585.11	SEC14L2
ENSMUSG00000003604.12	AVEN
ENSMUSG00000003617.14	CP
ENSMUSG00000003623.4	CROT
ENSMUSG00000003644.15	RPS6KA1
ENSMUSG00000003657.8	CALB2
ENSMUSG00000003660.10	SNRNP200
ENSMUSG00000003662.8	CIAO1
ENSMUSG00000003665.6	HAS1
ENSMUSG00000003680.13	TAF6L
ENSMUSG00000003721.12	INSIG2
ENSMUSG00000003731.11	KPNA6
ENSMUSG00000003746.13	MAN1A
ENSMUSG00000003752.8	ITPKC
ENSMUSG00000003762.11	ADCK4
ENSMUSG00000003778.12	BRD8
ENSMUSG00000003779.13	KIF20A
ENSMUSG00000003808.16	FARSA
ENSMUSG00000003809.12	GCDH
ENSMUSG00000003810.10	MAST2
ENSMUSG00000003812.11	DNASE2A
ENSMUSG00000003813.13	RAD23A
ENSMUSG00000003814.8	CALR
ENSMUSG00000003824.10	SYCE2
ENSMUSG00000003847.14	NFAT5
ENSMUSG00000003848.12	NOB1
ENSMUSG00000003849.8	NQO1
ENSMUSG00000003863.14	PPFIA3
ENSMUSG00000003865.12	GYS1
ENSMUSG00000003868.10	RUVBL2
ENSMUSG00000003872.7	LIN7B
ENSMUSG00000003873.10	BAX
ENSMUSG00000003882.4	IL7R
ENSMUSG00000003923.12	TFAM
ENSMUSG00000003929.10	ZFP81
ENSMUSG00000003934.5	EFNB3
ENSMUSG00000003948.14	MMD
ENSMUSG00000003949.14	HLF
ENSMUSG00000003955.7	FAM162A
ENSMUSG00000003970.8	RPL8
ENSMUSG00000003974.6	GRM3
ENSMUSG00000003992.12	SSBP2
ENSMUSG00000004018.7	FANCL
ENSMUSG00000004031.11	BRINP2
ENSMUSG00000004032.8	GSTM5
ENSMUSG00000004035.10	GSTM7
ENSMUSG00000004038.9	GSTM3
ENSMUSG00000004040.14	STAT3
ENSMUSG00000004043.12	STAT5A
ENSMUSG00000004044.9	PTRF
ENSMUSG00000004054.8	MAP3K11
ENSMUSG00000004056.13	AKT2
ENSMUSG00000004069.14	DNAJA3
ENSMUSG00000004070.13	HMOX2
ENSMUSG00000004071.10	CDIP1
ENSMUSG00000004085.12	ZAK
ENSMUSG00000004096.8	CWC15
ENSMUSG00000004098.7	COL5A3
ENSMUSG00000004099.13	DNMT1
ENSMUSG00000004100.9	PPAN
ENSMUSG00000004105.7	ANGPTL2
ENSMUSG00000004110.12	CACNA1E
ENSMUSG00000004113.16	CACNA1B
ENSMUSG00000004127.10	TRMT10A
ENSMUSG00000004151.14	ETV1
ENSMUSG00000004187.10	KIFC2
ENSMUSG00000004207.12	PSAP
ENSMUSG00000004221.14	IKBKG
ENSMUSG00000004231.13	PAX2
ENSMUSG00000004233.12	WARS2
ENSMUSG00000004263.13	ATN1
ENSMUSG00000004264.15	PHB2
ENSMUSG00000004266.13	PTPN6
ENSMUSG00000004267.14	ENO2
ENSMUSG00000004268.9	EMG1
ENSMUSG00000004270.11	LPCAT3
ENSMUSG00000004285.10	ATP6V1F
ENSMUSG00000004296.12	IL12B
ENSMUSG00000004317.12	CLCN5
ENSMUSG00000004319.13	CLCN3
ENSMUSG00000004328.13	HIF3A
ENSMUSG00000004341.7	GPX6
ENSMUSG00000004344.9	GPX5
ENSMUSG00000004347.14	PDE1C
ENSMUSG00000004356.7	UTP20
ENSMUSG00000004359.14	SPIC
ENSMUSG00000004360.8	9330159F19RIK
ENSMUSG00000004364.12	CUL3
ENSMUSG00000004366.3	SST
ENSMUSG00000004371.12	IL11
ENSMUSG00000004383.15	LARGE
ENSMUSG00000004393.8	DDX56
ENSMUSG00000004394.10	TMED4
